mturk_code,start_dt_tm,end_dt_tm,status_response_type,ip_address,progress,duration_seconds,finished,recorded_dt_tm,response_id,recipient_last_name,recipient_first_name,recipient_email,external_reference,location_latitude,location_longitude,distributional_channel,user_language,gender,geder_text,location,political_identification,political_identification_text,age,time_submit_article_control,time_submit_article_treatment,point_of_article,article_factual,article_effectiveness,support_tb,recommend_article,time_first_click_survey,time_last_click_survey,time_submit_survey,click_count_survey,group,time_first_click_article,time_last_click_article,time_submit_article,click_count_article,worker_id,assignment_id,task_time,phase
0,12/2/2018 18:54,12/2/2018 19:01,IP Address,68.47.84.142,50,420,FALSE,12/2/2018 20:12,R_2ruxoRrH8Uy05cU,,,,,,,anonymous,EN,Male,,"USA, Minnesota",Democratic,,26-35,,,,,,,,,,,,Treatment,,,,,,,,Primary
0,12/2/2018 18:56,12/2/2018 19:00,IP Address,49.207.184.148,50,275,FALSE,12/2/2018 20:12,R_3dWikz1biDtsfRt,,,,,,,anonymous,EN,Male,,USA,Republican,,26-35,,,,,,,,,,,,Treatment,,,,,,,,Primary
0,12/2/2018 19:09,12/2/2018 19:11,IP Address,73.41.105.185,38,163,FALSE,12/2/2018 20:12,R_1lt1Xn6fpl9dzSB,,,,,,,anonymous,EN,Female,,"California, USA",Democratic,,26-35,,,,,,,,,,,,Control,,,,,,,,Primary
0,12/2/2018 19:06,12/2/2018 19:12,IP Address,75.69.59.9,38,324,FALSE,12/2/2018 20:12,R_3Nx4lUy2UaMXO6r,,,,,,,anonymous,EN,Male,,"Massachusetts, USA",Independent,,26-35,,,,,,,,,,,,Control,,,,,,,,Primary
0,12/2/2018 19:20,12/2/2018 19:32,IP Address,24.3.147.179,50,743,FALSE,12/2/2018 20:12,R_26rxMljy0JAaIi5,,,,,,,anonymous,EN,Male,,"United States of America, Pennsylvania",Republican,,26-35,,,,,,,,,,,,Treatment,,,,,,,,Primary
0,12/2/2018 18:56,12/2/2018 18:57,IP Address,76.242.127.32,50,60,FALSE,12/2/2018 20:12,R_2ePbC1q48zgOoI6,,,,,,,anonymous,EN,Male,,usa kentucky,Democratic,,26-35,,,,,,,,,,,,Treatment,,,,,,,,Primary
0,12/2/2018 19:05,12/2/2018 19:06,IP Address,96.32.30.254,50,66,FALSE,12/2/2018 20:12,R_1hMc9QDcIlCXPan,,,,,,,anonymous,EN,Female,,usa,Republican,,26-35,,,,,,,,,,,,Treatment,,,,,,,,Primary
0,12/2/2018 19:18,12/2/2018 19:19,IP Address,71.50.52.113,50,39,FALSE,12/2/2018 20:12,R_w0gUTVKNYQIu7Hb,,,,,,,anonymous,EN,Male,,"USA, PA",Independent,,26-35,,,,,,,,,,,,Treatment,,,,,,,,Primary
0,12/2/2018 18:55,12/2/2018 19:18,IP Address,67.164.179.247,50,1345,FALSE,12/2/2018 20:12,R_2z7lfNXRZaqOz0z,,,,,,,anonymous,EN,Male,,"United States of America, Colorado",Democratic,,26-35,,,,,,,,,,,,Treatment,,,,,,,,Primary
0,12/2/2018 19:02,12/2/2018 19:02,IP Address,73.246.98.161,38,24,FALSE,12/2/2018 20:12,R_1fjcByasdF8amIo,,,,,,,anonymous,EN,Male,,"USA, ILLINOIS ",Independent,,36-48,,,,,,,,,,,,Control,,,,,,,,Primary
10388,12/2/2018 19:22,12/2/2018 19:25,IP Address,23.123.107.108,100,151,TRUE,12/2/2018 19:25,R_12zLiIDOxjxgyad,,,,,29.66090393,-82.58519745,anonymous,EN,Female,,"united states, florida",Republican,,36-48,,103.244,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,5,5,5,5.799,20.333,21.012,5,Treatment,0,0,103.244,0,A2OATZCX1YXE77,3L4D84MILZSHICCU9E7AJ8S2ZFZHJD,161,Primary
11628,12/2/2018 19:10,12/2/2018 19:12,IP Address,24.129.96.251,100,149,TRUE,12/2/2018 19:12,R_1mrwbV6HKwjPNho,,,,,30.35099792,-81.50610352,anonymous,EN,Male,,"USA, FL",Independent,,36-48,102.262,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,4,3,1,3.749,21.336,22.5,6,Control,1.953,8.423,102.262,3,AS7ZK30LXDC46,3OF2M9AATGOYKHI6XLDTKUWKAUCKZ1,165,Primary
11747,12/2/2018 18:53,12/2/2018 18:56,IP Address,73.119.239.216,100,207,TRUE,12/2/2018 18:56,R_d6J6uer73QJ8JdT,,,,,43.0072937,-71.44819641,anonymous,EN,Female,,"NH, USA",Democratic,,26-35,169.74,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,5,5,3.57,21.898,22.536,6,Control,0,0,169.74,0,A3QSJY1FFN0N6V,373ERPL3YO8OL9M2HDX8ZIHHKQFTRI,228,Primary
12840,12/2/2018 18:56,12/2/2018 18:58,IP Address,173.90.152.231,100,108,TRUE,12/2/2018 18:58,R_ukQtOSqn058D30J,,,,,41.19099426,-80.9701004,anonymous,EN,Female,,"Ohio, USA",Democratic,,26-35,51.195,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,3,3,3,1.153,21.706,23.93,27,Control,1.188,45.905,51.195,11,A1FZUMTKH5X5YQ,3MMN5BL1WZ4SPCBGXQV0V6J9K453MP,133,Primary
14347,12/2/2018 18:56,12/2/2018 18:57,IP Address,173.19.29.178,100,62,TRUE,12/2/2018 18:57,R_2ZDM5uWNAL0zRGa,,,,,41.46670532,-86.48310089,anonymous,EN,Female,,"Indiana, USA",Republican,,26-35,17.847,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,1,2,4.233,23.106,23.853,5,Control,5.038,15.526,17.847,5,A3C9PTN49QTVFN,3E1QT0TDFP9SUQRVOSS4UUK3JHD8I6,294,Primary
14357,12/2/2018 19:03,12/2/2018 19:08,IP Address,74.138.65.122,100,289,TRUE,12/2/2018 19:08,R_qDUjpX2jcprIrdv,,,,,38.35099792,-85.89959717,anonymous,EN,Male,,"USA, IN",Independent,,49-59,244.41,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,4,4,5.004,21.598,22.313,5,Control,0,0,244.41,0,A30VO44RKH1JEH,3HHRAGRYX8524HL8RFBNENB0FWVO97,301,Primary
14367,12/2/2018 19:29,12/2/2018 19:34,IP Address,174.70.47.240,100,295,TRUE,12/2/2018 19:34,R_27f13UzvltBOpB5,,,,,41.20750427,-96.11470032,anonymous,EN,Male,,"USA, Nebraska",Independent,,26-35,230.561,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,4,4,1,7.885,32.629,33.34,5,Control,0,0,230.561,0,A1RD0EUJJDNJZ7,30LSNF239UVH8BP68BJ3K370XHU2I6,317,Primary
14557,12/2/2018 19:32,12/2/2018 19:38,IP Address,107.199.18.206,100,398,TRUE,12/2/2018 19:38,R_3eyNnund0vh4JBT,,,,,30.89309692,-83.32779694,anonymous,EN,Female,,"USA, Georgia",Republican,,26-35,268.564,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,4,3,3,6.256,70.118,84.298,6,Control,7.784,268.155,268.564,4,A1N8WKXWLOLBRR,352YTHGROVDRFUT967K6D63JHIC4HC,451,Primary
15074,12/2/2018 18:59,12/2/2018 19:07,IP Address,68.133.1.221,100,507,TRUE,12/2/2018 19:07,R_1E5N8AhjIEHvLpZ,,,,,43.04289246,-78.69879913,anonymous,EN,Female,,"NY, USA",Democratic,,36-48,,462.635,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,No,3,2,1,4.595,18.887,20.26,5,Treatment,0,0,462.635,0,AVZOGPWNTUPC4,34HJIJKLP5WWXVOTBW1AS7USPXDV4J,537,Primary
15138,12/2/2018 19:10,12/2/2018 19:11,IP Address,50.45.23.189,100,66,TRUE,12/2/2018 19:11,R_WoYIq0LYNIXkkhz,,,,,37.72569275,-88.92939758,anonymous,EN,Female,,"USA, IL",Republican,,26-35,,2.229,There is a single global strategy for tuberculosis treatment worldwide,Maybe,3,5,3,5.532,29.928,31.062,10,Treatment,1.692,1.692,2.229,1,A1BMZUNL98C5GL,3R9WASFE2ZGN4VQSWAMW4H4F2YVFZU,82,Primary
15796,12/2/2018 19:04,12/2/2018 19:10,IP Address,174.200.2.6,100,369,TRUE,12/2/2018 19:10,R_9zCmcuPrQo4qflv,,,,,40.71040344,-74.21109772,anonymous,EN,Female,,us,Democratic,,59 or older,277.663,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,5,5,5,20.387,49.212,50.286,9,Control,45.157,267.61,277.663,9,APY7YO8CH0ZDP,3U088ZLJVKTSDW6XI5J426NTFU0W0F,395,Primary
15842,12/2/2018 18:55,12/2/2018 18:56,IP Address,23.112.114.15,100,99,TRUE,12/2/2018 18:56,R_1qerCvXIeavwsDc,,,,,28.56970215,-80.81909943,anonymous,EN,Male,,"United States, Florida",Republican,,26-35,,18.57,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,5,5,34.806,53.236,54.975,7,Treatment,0,0,18.57,0,A1QEQOI98976S0,3S06PH7KSR4TBFROXTIEONHID6YD1O,112,Primary
16093,12/2/2018 19:03,12/2/2018 19:05,IP Address,73.251.140.134,100,159,TRUE,12/2/2018 19:05,R_DUhZQSmc2KOOeZj,,,,,39.08340454,-78.19069672,anonymous,EN,Female,,"USA, VIRGINIA",Democratic,,36-48,,81.597,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,4,4,4,8.648,33.079,34.444,8,Treatment,0,0,81.597,0,A2TV4MWIOBMNMS,3K2755HG5S3K1ULW4SXZDPLCEGJDFR,182,Primary
16419,12/2/2018 18:53,12/2/2018 18:58,IP Address,198.254.87.130,100,274,TRUE,12/2/2018 18:58,R_QglatVIorfGlnG1,,,,,35.25270081,-85.16300201,anonymous,EN,Male,,US Tennessee,Independent,,36-48,200.589,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,5,5,6.209,35.062,36.073,12,Control,7.103,167.493,200.589,11,AUB4G0UAESKNQ,39O5D9O87TSFGQZPK11MSAEXQQ0C3F,290,Primary
17777,12/2/2018 18:57,12/2/2018 19:02,IP Address,75.164.47.88,100,334,TRUE,12/2/2018 19:02,R_1d4wK6ElJHtumw8,,,,,45.50779724,-122.6896973,anonymous,EN,Female,,"Washington, USA",Democratic,,26-35,,256.748,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,3,3,3,2.801,11.169,12.536,5,Treatment,0,0,256.748,0,A3NRHWQC1WHK6C,3DEL4X4EL6L4ZR780IQZWHVK09JYX9,369,Primary
18746,12/2/2018 19:28,12/2/2018 19:33,IP Address,75.118.6.234,100,273,TRUE,12/2/2018 19:33,R_30diIZxciZh6UIo,,,,,40.03219604,-83.13829803,anonymous,EN,Male,,USA,Republican,,59 or older,,213.53,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,5,5,2,10.899,28.335,30.257,5,Treatment,0,0,213.53,0,A2XRYF0L5ACD2E,3QJOXOW4XJRVZARDMACWEXN6BT3ME7,300,Primary
18831,12/2/2018 19:16,12/2/2018 19:19,IP Address,76.214.149.168,100,230,TRUE,12/2/2018 19:19,R_OiIZ6mOPh0AWwvL,,,,,36.84320068,-119.6517944,anonymous,EN,Male,,United States and California,Democratic,,26-35,,178.92,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,5,4,4,9.74,18.726,19.387,5,Treatment,19.101,19.978,178.92,3,A1GCTKOPKUTW3G,3HWRJOOET52YX54I678IQ6MC3IIES8,247,Primary
19835,12/2/2018 18:53,12/2/2018 18:56,IP Address,172.58.232.175,100,158,TRUE,12/2/2018 18:56,R_2zegFY5aOkcFMdz,,,,,40.73699951,-74.1964035,anonymous,EN,Male,,usa new jersey,Independent,,36-48,,75.603,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,3,5,12.505,21.883,22.733,5,Treatment,0,0,75.603,0,A1CPVTZAK27YSF,3VFJCI1K4ZZKG40WXDY10Z2SUW8GRX,229,Primary
20134,12/2/2018 19:22,12/2/2018 19:27,IP Address,98.144.17.196,100,259,TRUE,12/2/2018 19:27,R_em7cXihqDu3Rdjb,,,,,42.98219299,-88.09459686,anonymous,EN,Female,,"United States, Wisconsin",Democratic,,26-35,188.387,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,5,5,4,5.517,33.678,34.282,7,Control,0,0,188.387,0,A7K3HIKQPW1HJ,338JKRMM26Z6HJ9QF8UXQ9PJ9S5AHQ,288,Primary
20513,12/2/2018 18:57,12/2/2018 18:59,IP Address,138.219.175.56,100,134,TRUE,12/2/2018 18:59,R_2YtdXQCfhiokzpb,,,,,15,-86.5,anonymous,EN,Male,,us,Republican,,26-35,77.245,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,3,4,6.599,16.729,18.171,5,Control,0,0,77.245,0,AW4V84DRTH6R2,3VA45EW49NNKFCIDN2WUZHTHHK61OA,159,Primary
20965,12/2/2018 18:59,12/2/2018 19:03,IP Address,67.253.110.121,100,272,TRUE,12/2/2018 19:03,R_3L0wLuTXR105xWe,,,,,43.1894989,-77.8042984,anonymous,EN,Male,,"New York, United States",Democratic,,18-24,,194.986,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,5,4,2.457,38.071,39.076,5,Treatment,0,0,194.986,0,,,,Primary
21717,12/2/2018 19:00,12/2/2018 19:04,IP Address,67.167.53.155,100,244,TRUE,12/2/2018 19:04,R_3L0GmQqFraQliLe,,,,,41.90080261,-88.75479889,anonymous,EN,Female,,"USA, Illinois ",Democratic,,26-35,,182.903,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,4,2,10.201,22.901,23.748,14,Treatment,5.802,182.41,182.903,49,A2K866HBLUU83E,34Q075JO1XDZCVQULHUJ9GXZJHR10L,273,Primary
22034,12/2/2018 18:56,12/2/2018 19:03,IP Address,24.112.151.140,100,395,TRUE,12/2/2018 19:03,R_WpMK9OVa304KzOF,,,,,39.77200317,-76.59700012,anonymous,EN,Female,,usa pennsylvania,Independent,,49-59,299.681,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,4,4,9.182,41.671,43.106,6,Control,24.492,24.492,299.681,1,A3J0PZ3P3J90DU,358010RM5ETNVXC3V73FPIRQISHVXX,425,Primary
23446,12/2/2018 19:21,12/2/2018 19:25,IP Address,98.11.199.239,100,255,TRUE,12/2/2018 19:25,R_3qerEQKYv6ETMKU,,,,,37.75100708,-97.8219986,anonymous,EN,Male,,USA,Democratic,,49-59,204.83,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,4,4,4,3.645,18.252,19.689,5,Control,193.314,193.314,204.83,1,AHTWQSOY6HTJI,3DUZQ9U6SMOFZGQ41XXSQAAY3DMVSW,270,Primary
23560,12/2/2018 19:16,12/2/2018 19:21,IP Address,160.3.96.139,100,314,TRUE,12/2/2018 19:21,R_10Z6ps0YrmOtMZT,,,,,42.5243988,-113.7930984,anonymous,EN,Female,,"Idaho, USA",Democratic,,26-35,,216.601,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,5,5,18.1,47.488,49.269,12,Treatment,13.623,214.896,216.601,12,,,,Primary
23633,12/2/2018 18:54,12/2/2018 19:00,IP Address,108.31.121.116,100,393,TRUE,12/2/2018 19:00,R_2OSyiffBPXF3pWs,,,,,39.17300415,-77.1855011,anonymous,EN,Male,,United States - Maryland,Independent,,18-24,,329.312,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,5,1,5.169,31.075,32.287,5,Treatment,0,0,329.312,0,A1P0M5D9IGZIDK,3UJ1CZ6IZHPY1MBPV6FFMCGZQPDS5F,410,Primary
23662,12/2/2018 19:05,12/2/2018 19:09,IP Address,24.180.215.169,100,225,TRUE,12/2/2018 19:09,R_3Hqe3ncLI6J1QRh,,,,,42.53709412,-83.77559662,anonymous,EN,Female,,"michigan, usa",Democratic,,36-48,160.622,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,3,3,3,13.421,29.267,30.68,5,Control,0,0,160.622,0,A1DEDPPSLYETG3,36W0OB37HWE7IRHYR0AW72GSID6ZHA,249,Primary
23796,12/2/2018 19:21,12/2/2018 19:37,IP Address,139.55.47.181,100,984,TRUE,12/2/2018 19:37,R_31gCLNusaFmzw7Y,,,,,37.29829407,-83.19120026,anonymous,EN,Male,,"United States, Kentucky",Independent,,26-35,,735.421,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,3,4,4,42.191,60.219,61.362,5,Treatment,388.338,388.338,735.421,1,A28R1BHE6AM4XU,3GNA64GUZE4MO6WC32QARC1Y81ZQ5V,1044,Primary
24328,12/2/2018 19:21,12/2/2018 19:24,IP Address,65.31.213.39,100,200,TRUE,12/2/2018 19:24,R_snFtQwl6Ef60NBD,,,,,39.19790649,-94.51989746,anonymous,EN,Female,,"USA, Missouri",Democratic,,36-48,,154.85,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,5,3,2.512,21.111,21.833,6,Treatment,0,0,154.85,0,A20IA63WXHF683,34S9DKFK73PZNXT4YC3QYF4MYVDYNT,817,Primary
24412,12/2/2018 19:07,12/2/2018 19:08,IP Address,98.157.239.22,100,109,TRUE,12/2/2018 19:08,R_WlMRrw7C7E785up,,,,,39.40699768,-87.40200043,anonymous,EN,Female,,usa,Democratic,,49-59,,6.335,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,4,4,4,5.454,18.652,19.319,6,Treatment,0,0,6.335,0,AOZNGVLQA42SZ,3AUQQEL7U5TFY76SSVE8G44F8LZV05,134,Primary
24788,12/2/2018 19:14,12/2/2018 19:18,IP Address,72.92.25.56,100,234,TRUE,12/2/2018 19:18,R_yCM0f5ibarAfKOB,,,,,39.82949829,-75.43540192,anonymous,EN,Female,,usa pa,Democratic,,49-59,,157.106,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,4,4,1,3.511,30.599,31.3,13,Treatment,8.825,142.941,157.106,5,A330JJZGJL7IG2,3KAKFY4PGU26TTLPCBX83DCS3VQ3IE,303,Primary
24931,12/2/2018 19:19,12/2/2018 19:24,IP Address,172.245.180.159,100,279,TRUE,12/2/2018 19:24,R_vTYnoBAmyP5tzq1,,,,,42.88639832,-78.87809753,anonymous,EN,Male,,usa nevada,Republican,,49-59,4.588,,Tuberculosis can be treated with diet of gummy bears and diet soda,Yes,4,5,4,3.175,10.591,17.99,4,Control,0,0,4.588,0,A2YXAKEX4FJ0SV,3VNXK88KKCIXU1U5SRX19F58BPX9VZ,666,Primary
25544,12/2/2018 19:27,12/2/2018 19:30,IP Address,104.227.92.91,100,150,TRUE,12/2/2018 19:30,R_3EQODwLg25NiSz1,,,,,35.22900391,-80.84190369,anonymous,EN,Male,,ALABAMA,Republican,,26-35,,29.957,There is a single global strategy for tuberculosis treatment worldwide,Maybe,4,4,5,42.807,57.317,59.294,6,Treatment,16.663,17.567,29.957,2,,,,Primary
26288,12/2/2018 19:02,12/2/2018 19:07,IP Address,47.40.146.204,100,244,TRUE,12/2/2018 19:07,R_1H0OAlsOI3ROxcw,,,,,42.2624054,-85.60959625,anonymous,EN,Male,,"USA, Michigan",Independent,,26-35,168.647,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,4,2,2.458,48.043,49.815,13,Control,0.885,164.571,168.647,40,A3LSJIDK2AO2MB,3RXPCZQMQPBWNZ1FZJJMU8KFQYGG13,257,Primary
26480,12/2/2018 18:58,12/2/2018 19:09,IP Address,32.216.138.27,100,688,TRUE,12/2/2018 19:09,R_2SCAWZoa2nAlb4c,,,,,41.85609436,-72.66390228,anonymous,EN,Female,,"CT,US",Independent,,26-35,,617.472,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,5,5,5,7.877,23.527,23.958,18,Treatment,82.964,597.654,617.472,9,A1JIN7UH87A1W,34PGFRQONOBZF27J4DTAKB2PE35JW8,711,Primary
26603,12/2/2018 19:11,12/2/2018 19:17,IP Address,99.171.140.244,100,396,TRUE,12/2/2018 19:17,R_pisdi2tOSHcSSul,,,,,34.00250244,-84.46330261,anonymous,EN,Male,,USA Georgia,Republican,,49-59,,283.113,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,5,5,5,7.177,40.591,45.611,5,Treatment,252.904,255.732,283.113,2,A2S56FP1POG0TB,3WAKVUDHUWGT33HC84PCZXCJ2SXU7G,426,Primary
26784,12/2/2018 19:00,12/2/2018 19:02,IP Address,75.165.121.103,100,92,TRUE,12/2/2018 19:02,R_27QBjlNairFOpND,,,,,39.90719604,-77.63600159,anonymous,EN,Male,,"USA, PA",Republican,,49-59,17.158,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,2,4,13.511,36.695,37.358,7,Control,0,0,17.158,0,A1IUUDOOCNWYEF,36NEMU28XFDPGAD47A6203U6IX0WMP,123,Primary
27035,12/2/2018 19:10,12/2/2018 19:14,IP Address,50.24.242.56,100,283,TRUE,12/2/2018 19:14,R_3HFkxfevtAeebdI,,,,,30.64480591,-95.57980347,anonymous,EN,Female,,"United States, Texas",Republican,,36-48,,178.421,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,No,4,3,3,5.713,33.467,34.368,21,Treatment,8.339,175.962,178.421,40,A2QIWWNL33VJ3J,3HFNH7HEMHEK43LWKY91V9SNYA7QG7,941,Primary
27188,12/2/2018 19:18,12/2/2018 19:25,IP Address,24.181.69.209,100,371,TRUE,12/2/2018 19:25,R_sbUyxDYn9fvRFn3,,,,,34.18190002,-83.90239716,anonymous,EN,Male,,"USA, Georgia",Independent,,36-48,289.607,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Yes,4,5,3,5.583,43.217,45.026,6,Control,0,0,289.607,0,AYVN0PLH89WSO,3CFVK00FWLL7GDGDGGSJ2WG4UQG6LV,438,Primary
27849,12/2/2018 19:13,12/2/2018 19:17,IP Address,157.46.17.255,100,238,TRUE,12/2/2018 19:17,R_3JnqhLRBYgBBgkR,,,,,13.08329773,80.28329468,anonymous,EN,Male,,"USA, California",Independent,,26-35,50.609,,Tuberculosis is no longer a health issue.,Yes,4,4,4,17.532,87.78,88.561,6,Control,0,0,50.609,0,A1V6BCOBPJ3WKQ,3IJXV6UZ1XJYCV6RN1Y4LBF8995IRW,272,Primary
29809,12/2/2018 19:00,12/2/2018 19:03,IP Address,71.87.200.199,100,193,TRUE,12/2/2018 19:03,R_3iDLxMTo98UC2EV,,,,,35.50019836,-85.0134964,anonymous,EN,Female,,"USA, Tennessee",Independent,,26-35,,142.349,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,5,4,7.222,25.844,26.8,6,Treatment,0,0,142.349,0,A31GW1DTYUZ9HD,39ASUFLU6X76TMQH0HE5PE34IXFXEU,236,Primary
30028,12/2/2018 19:20,12/2/2018 19:26,IP Address,68.224.69.208,100,331,TRUE,12/2/2018 19:26,R_3QXZFBbISArFJZH,,,,,35.99589539,-115.1576004,anonymous,EN,Female,,USA NEVADA,Republican,,36-48,268.871,,Tuberculosis could be wiped if we treated it with the same strategy in poor countries as we do in healthy countries.,Maybe,5,5,5,5.022,29.246,30.414,7,Control,7.24,266.46,268.871,6,A23FEELMFHLC9K,3URFVVM165ICNDNIRZHVQH5ICLDUZB,347,Primary
